NAME,PURPOSE,QTY,$$$,Link ,DISTR ALL AMAZON
file,if i need to file the keys or the hot glue to be filed down,1,4.89,https://www.amazon.com/TOYIKOM-Ergonomic-Durable-Trimming-Shaping/dp/B0DJ2SMB8Q/ref=sr_1_5?crid=1BEW0ZGRT87AV&dib=eyJ2IjoiMSJ9.yscC70m9Z-O0jEbRno6BD-Fn6rL8jz7oFiuxLrK_1pHM1Kbp31aw_2cHry5HizGGwCFS07nz-hVxC-KnjOYhgveWTCjWiOoI9h3zwBT9gV1wvJF-3Ke4lyOvfTaQU1VpcOI1cVjKixuO6TnmA-ydj2Atv1oDF4MYRJYb2VkIBLs_TFWfJkht0-s8veNCgPqosO9KG4p9pRhdRwKFiwhFDbjGK-Gr8qpONqJLnEzoL-SE6nu4AwkSKKQeU4Pg4rdXcm_uiD80GxFDEqtt1GKJn-03s5XMRw8rL4CJKILVVtw.2LDvuskC8GbXpAcjwFt_tPsmn4WVOcktafyJ1Lo3fdc&dib_tag=se&keywords=File&qid=1775687059&sprefix=file+%2Caps%2C200&sr=8-5,
Wood rod ,for key movement ,1,8.99,https://www.amazon.com/10PCS-Dowel-Rods-Sticks-Wooden/dp/B0B6PQHKGT/ref=sr_1_7?crid=25MRYSQDDCRTI&dib=eyJ2IjoiMSJ9.HHQ0kOhMozEFxqqd3QbOq9cX1azZm339bbJO_ARM5CEAG6E9hjHo1PJQ64-I56HXFlnPmrL9CkqmWfRsAu50JVm4v_wofHGOFyzr04O1AWHrz0_O9thTTdiob-Ul-kbbDFz-qLlyHOPRbOdbz7HLpsVX6ilRK6BL7vv9HNVYvmt0N2xUIuo1zyLPSLx_3Q99b9Ud4k1XHtYjnZxRvJ_k9GTVKkqmj2jZm-CsBpjLbijRb92UcjzM6B1rMNfBneMbk0gy6gET_7Q7SkYlpUePkeWYbB5eS3FCTfA4uM6Ad1s.vhxjbGDX2-r9xdiXnfEcgJjiFmu3TDzzQkI9lPlkixE&dib_tag=se&keywords=Plywood%2Brod&qid=1775686920&sprefix=plywood%2Brod%2B%2Caps%2C319&sr=8-7&th=1,
glue gun ,To connect the materials,1,8.99,https://www.amazon.com/COMTO-Sticks-Preheating-School-Repairs/dp/B0FHGS5HT5/ref=sr_1_3_sspa?crid=3GF0N9NP9V73T&dib=eyJ2IjoiMSJ9.rmkAqlNRv8pqMmb3ec-MNMfC1hL9r7PHJZ1pzf9bcOGhz2_ggTni9U7hkQ6e-ysEVI60Zjvuxv8MwL-3aMyK2tL416f8x3j4QC5-D8OyNwkse5JVNyAa3PuCe57aHejl_hQbriYTrw8FrbIXheekyrPhyUllQnojj0VixCi4morKzK_UfimuRk7oXXHkWQdA7t9w3L89JgIxWGAHYzI9_TUKq2caqhMxpJK5wU06JxpUSBcAgsAWcHo3z-r3j5cJqvgMlmybqMkicoP7Z6ZsmZCp9Ktjv1fpaA2xmbOpnuA.1i38zFgqSm2MSgpSPbZYFrinoZGiEW8jPeSs3vSzcAs&dib_tag=se&keywords=hot%2Bglue%2Bgun&qid=1775686691&sprefix=Hot%2Bglue%2Bgun%2Caps%2C223&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
craft knife ,To cut material,1,4.99,https://www.amazon.com/DIYSELF-Precision-Crafting-Polymer-Pottery/dp/B08GKJ8Q8T/ref=sr_1_1_sspa?crid=20LJ7WBH4LPLN&dib=eyJ2IjoiMSJ9.YaVEW7nPkv7yjf_gZTUw0tjm1Qy_IH4E-dI966jVLT8ocgJ4XcpH80HwKBjpNleP_hzNBbrmZ3elXdfVCnLptDeRnfwigNdNxzDaD1S3I8trh1oPb7sBtLXFs_1hXAfAuRVuvxK7iMP0aMNefzvlGZtAsg3d_-j6xF_QupIZxedWrzUQxL17kH5dtlSA_YGDhNBoNdtXwpA8y_tILgcpS9x5AJfJlwwwBAzakGf6byks7p2esV-IaMUX2NmmsBGhtMz-j89wM_DoCqAMAkYAhmW1-7v2MHJyb0Yu8SSQxvY.SCSSzC2TUtAbV05fze51Z5NOk-cIgcV4VT7PSQLlSyA&dib_tag=se&keywords=Craft+blade&qid=1775685887&sprefix=craft+blade%2Caps%2C212&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
Plywood,key materials,1,18.99,https://www.amazon.com/LotFancy-Basswood-Unfinished-Engraving-Architectural/dp/B0CJXSPW7S/ref=sr_1_4_sspa?crid=1WXJ3UF3GQ988&dib=eyJ2IjoiMSJ9.UW4uv9ks4rKTZaUC5VSqC9R9o-ST8M4eZgR5Z7RYu9ZnHds4eS4Z1czbHiSXqJ0j24Qljn2hyCt_vPQ5bsDD4sqmEp-kXFeTlS5DNVR2E1HX1B-QbVw95pYsV3GSiygmq6g2Em4WTYb2UfLfYoSitDRBNYaPRlSQCmsLprnux7wM_rz8pWt4XOZ6nz5cJaT6wmaEgFrHmUnGxPeDRSuaL0wX4HxF4xs6LckbKFBttS8TLZaCnvVQIya-ET_4RQcvALbOgbMFqS5GOKXknRC2kK7b7C_nkCdJ0LbUYSo0eQE.7i9MQXoQJbu1IP3-meM6rnUTfBmQ2fNNON7l5tf0g4Y&dib_tag=se&keywords=Thin%2Bplywood&qid=1775685770&sprefix=thin%2Bplywood%2Caps%2C146&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
button,Off and on switch,1,7.99,https://www.amazon.com/Button-Module-Arduino-ESP8266-Raspberry/dp/B0DQ3WM7K1/ref=sr_1_20?crid=648TNDG6335W&dib=eyJ2IjoiMSJ9.z4e4MOD3b9BkB8UAJ5zPbAyCffCRmA_LdKhHQuUDZmzGjHj071QN20LucGBJIEps.htnaA5MLMzwZJ6EAgvVQhBquSUK2ZuIn2geKCRxcspI&dib_tag=se&keywords=Arduino+switch+one+big&qid=1775685614&sprefix=arduino+switch+one+big+%2Caps%2C190&sr=8-20&xpid=BstX02WhPVbOx,
Board,To solder my wires and components onto,2,11.67,https://www.amazon.com/SchmalzTech-Protoboard-Solderable-Breadboard-ST-PROTO-1-2/dp/B0BK76L5BD/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.6e161ee3-cdf8-498d-a461-50d1d53c2399%3Aamzn1.sym.6e161ee3-cdf8-498d-a461-50d1d53c2399&crid=LPXQLF73VRZL&cv_ct_cx=Protoboards&keywords=Protoboards&pd_rd_i=B0BK76L5BD&pd_rd_r=5842915f-be5a-4b7a-b15d-5f48f9b6ed87&pd_rd_w=WTJmf&pd_rd_wg=IkukN&pf_rd_p=6e161ee3-cdf8-498d-a461-50d1d53c2399&pf_rd_r=EF8X0DRFVXQ6QJ6Z2ETY&qid=1775685375&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=protoboards%2Celectronics%2C216&sr=1-4-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=aKP4u51jhE&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,
Jumper wires,To solder them onto my board,1,13.99,https://www.amazon.com/BOJACK-Solderless-Flexible-Breadboard-Connecting/dp/B08YRGVYPV/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.6e161ee3-cdf8-498d-a461-50d1d53c2399%3Aamzn1.sym.6e161ee3-cdf8-498d-a461-50d1d53c2399&crid=11QJHF6BE02S3&cv_ct_cx=jumper%2Bwires&keywords=jumper%2Bwires&pd_rd_i=B08YRGVYPV&pd_rd_r=c8c99529-a411-4643-92c7-63b4ce366890&pd_rd_w=o4uS3&pd_rd_wg=6MwgV&pf_rd_p=6e161ee3-cdf8-498d-a461-50d1d53c2399&pf_rd_r=XERPJC7XG3RRGN51X5M3&qid=1775685232&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=Jumper%2Bwires%2B%2Celectronics%2C171&sr=1-1-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=FO2YQQl4yg&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,
9v battery ,Power,1,6.99,https://www.amazon.com/Chanzon-Battery-2-1x5-5mm-Connector-Leather/dp/B083QFNY1G/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.6e161ee3-cdf8-498d-a461-50d1d53c2399%3Aamzn1.sym.6e161ee3-cdf8-498d-a461-50d1d53c2399&crid=2DQVE7ASKI3PW&cv_ct_cx=battery%2Bclips&keywords=battery%2Bclips&pd_rd_i=B083QFNY1G&pd_rd_r=2c6cd27e-2221-472b-8aa3-833ed466b220&pd_rd_w=QFNDP&pd_rd_wg=hNNGw&pf_rd_p=6e161ee3-cdf8-498d-a461-50d1d53c2399&pf_rd_r=5T9RC80GS178FT63AP5B&qid=1775685118&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=Battery%2Bcli%2Caps%2C152&sr=1-3-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=nwQjYVgwXx&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,
arm switch ,Buttons for each individual key,1,9.89,https://www.amazon.com/Cylewet-Straight-Switch-Arduino-CYT1110/dp/B07N819HR6/ref=sr_1_15?crid=1P1QUJM37FPFQ&dib=eyJ2IjoiMSJ9.G3XcfzLuvLnY91IvQhkFvHsGsWC8cU-701ujhfWiBOdBGKuv92klRHf5kLS3H2iivg3i1a_jZ00S8bMW1RELxX25fd7A4XIcaRrk7TQa4msbcDK766aV2we7Yuoud5TGdXVHbmmjfuzSV1k7cPUSXrmaV0QO-AC9rR2v15ffFsZTfzC-TgFmK110sbFmmZ4igjWH7rhVKxn8LNElAmfWE_mi-9KTAXRoRbOXS5LWHZk.UGIXLtZlF2Ze68OJiFZ5C1ZOjfss5xNyWo7LhruzMlU&dib_tag=se&keywords=Switch+arm+Arduino&qid=1775685004&sprefix=switch+arm+arduin%2Caps%2C485&sr=8-15,
